class_id,id,enrolled,capacity,message,timestamp
WINTER 2024 31179,99006,50,50,"",2023-11-21 00:00:00.000000
WINTER 2024 31187,99007,24,50,"",2023-11-21 00:00:00.000000
WINTER 2024 31195,99008,60,60,"",2023-11-21 00:00:00.000000
WINTER 2024 31203,99009,60,60,"",2023-11-21 00:00:00.000000
WINTER 2024 31211,99010,50,50,"",2023-11-21 00:00:00.000000
WINTER 2024 31229,99011,34,50,"",2023-11-21 00:00:00.000000
WINTER 2024 31237,99012,50,50,"",2023-11-21 00:00:00.000000
WINTER 2024 31245,99013,45,45,"",2023-11-21 00:00:00.000000
WINTER 2024 31252,99014,45,45,"",2023-11-21 00:00:00.000000
WINTER 2024 62455,99015,20,25,"",2023-11-21 00:00:00.000000
WINTER 2024 50740,99016,16,20,"",2023-11-21 00:00:00.000000
WINTER 2024 31260,99017,38,60,"",2023-11-21 00:00:00.000000
WINTER 2024 31278,99018,29,45,"",2023-11-21 00:00:00.000000
WINTER 2024 50757,99019,17,25,"",2023-11-21 00:00:00.000000
WINTER 2024 31286,99020,50,50,"",2023-11-21 00:00:00.000000
WINTER 2024 31294,99021,45,45,"",2023-11-21 00:00:00.000000
WINTER 2024 31302,99022,0,0,"",2023-11-21 00:00:00.000000
WINTER 2024 31310,99023,0,5,"",2023-11-21 00:00:00.000000
WINTER 2024 31328,99024,0,25,"",2023-11-21 00:00:00.000000
WINTER 2024 31336,99025,0,20,"",2023-11-21 00:00:00.000000
WINTER 2024 31344,99026,0,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04481,99027,154,300,"",2023-11-21 00:00:00.000000
WINTER 2024 04499,99028,80,250,"",2023-11-21 00:00:00.000000
WINTER 2024 04507,99029,299,300,"",2023-11-21 00:00:00.000000
WINTER 2024 04515,99030,183,300,"",2023-11-21 00:00:00.000000
WINTER 2024 04523,99031,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04531,99032,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04549,99033,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04556,99034,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04564,99035,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04572,99036,0,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04580,99037,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04598,99038,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04606,99039,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04614,99040,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04622,99041,0,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04630,99042,0,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04648,99043,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04655,99044,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04663,99045,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 59022,99046,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 59030,99047,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 59048,99048,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 59055,99049,0,20,"",2023-11-21 00:00:00.000000
WINTER 2024 59063,99050,0,20,"",2023-11-21 00:00:00.000000
WINTER 2024 59071,99051,0,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04671,99052,303,306,"",2023-11-21 00:00:00.000000
WINTER 2024 04689,99053,306,306,"",2023-11-21 00:00:00.000000
WINTER 2024 04697,99054,306,306,"",2023-11-21 00:00:00.000000
WINTER 2024 04705,99055,306,306,"",2023-11-21 00:00:00.000000
WINTER 2024 04713,99056,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04721,99057,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04739,99058,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04747,99059,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04754,99060,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04762,99061,20,20,"",2023-11-21 00:00:00.000000
WINTER 2024 04770,99062,20,20,"",2023-11-21 00:00:00.000000
