id,enrollment_code,class_id,days,time,location
WINTER 2022 06270,06270,WINTER 2022 06270,0000100,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",TD-W 2600
WINTER 2022 06288,06288,WINTER 2022 06270,0000100,"(""1900-01-01 14:00:00"",""1900-01-01 14:50:00"")",BUCHN1934
WINTER 2022 06296,06296,WINTER 2022 06270,0010000,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",HSSB 2202
WINTER 2022 06304,06304,WINTER 2022 06270,0000100,"(""1900-01-01 13:00:00"",""1900-01-01 13:50:00"")",HSSB 1231
WINTER 2022 06312,06312,WINTER 2022 06270,0000100,"(""1900-01-01 10:00:00"",""1900-01-01 10:50:00"")",BUCHN1934
WINTER 2022 06353,06353,WINTER 2022 06353,1010000,"(""1900-01-01 13:00:00"",""1900-01-01 16:50:00"")",PSB-N1641
WINTER 2022 06361,06361,WINTER 2022 06353,1010000,"(""1900-01-01 13:00:00"",""1900-01-01 16:50:00"")",PSB-N1649
WINTER 2022 06379,06379,WINTER 2022 06353,1010000,"(""1900-01-01 17:30:00"",""1900-01-01 21:20:00"")",PSB-N1641
WINTER 2022 06387,06387,WINTER 2022 06353,1010000,"(""1900-01-01 17:30:00"",""1900-01-01 21:20:00"")",PSB-N1649
WINTER 2022 06395,06395,WINTER 2022 06353,0101000,"(""1900-01-01 13:00:00"",""1900-01-01 16:50:00"")",PSB-N1641
WINTER 2022 06403,06403,WINTER 2022 06353,0101000,"(""1900-01-01 13:00:00"",""1900-01-01 16:50:00"")",PSB-N1649
WINTER 2022 06411,06411,WINTER 2022 06353,0101000,"(""1900-01-01 17:30:00"",""1900-01-01 21:20:00"")",PSB-N1641
WINTER 2022 06429,06429,WINTER 2022 06353,0101000,"(""1900-01-01 17:30:00"",""1900-01-01 21:20:00"")",PSB-N1649
WINTER 2022 06437,06437,WINTER 2022 06353,0010100,"(""1900-01-01 08:00:00"",""1900-01-01 11:50:00"")",PSB-N1641
WINTER 2022 06445,06445,WINTER 2022 06353,0010100,"(""1900-01-01 08:00:00"",""1900-01-01 11:50:00"")",PSB-N1649
WINTER 2022 06478,06478,WINTER 2022 06478,0101000,"(""1900-01-01 08:00:00"",""1900-01-01 11:50:00"")",PSB-N2619
WINTER 2022 06486,06486,WINTER 2022 06478,0101000,"(""1900-01-01 13:00:00"",""1900-01-01 16:50:00"")",PSB-N2619
WINTER 2022 06494,06494,WINTER 2022 06478,0101000,"(""1900-01-01 17:30:00"",""1900-01-01 21:20:00"")",PSB-N2619
WINTER 2022 63685,63685,WINTER 2022 63685,1000000,"(""1900-01-01 17:30:00"",""1900-01-01 21:20:00"")",PSB-N2619
WINTER 2022 06577,06577,WINTER 2022 06577,0100000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",HSSB 2202
WINTER 2022 06585,06585,WINTER 2022 06577,0100000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",ELLSN2816
WINTER 2022 06593,06593,WINTER 2022 06577,0001000,"(""1900-01-01 15:00:00"",""1900-01-01 15:50:00"")",HSSB 2202
WINTER 2022 06601,06601,WINTER 2022 06577,0001000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",GIRV 2135
WINTER 2022 64196,64196,WINTER 2022 64196,0100000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",HSSB 3202
WINTER 2022 64204,64204,WINTER 2022 64196,0100000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",ON LINE
WINTER 2022 64212,64212,WINTER 2022 64196,0100000,"(""1900-01-01 16:00:00"",""1900-01-01 16:50:00"")",HSSB 1236
WINTER 2022 64220,64220,WINTER 2022 64196,0100000,"(""1900-01-01 17:00:00"",""1900-01-01 17:50:00"")",HSSB 1214
